Name,Matches played (total),Team,Age,MinutesPlayed,AveragePassesPerGame,Passes (total),AccuratePassPercent,Tackles (total),AverageTacklesPerGame,TacklesWonPercent,Key passes (total),Crosses (total),AverageCrossesPerGame,AccurateCrossesPercent,Defensive challenges (total),"Challenges in defence won, % (total)",Air challenges (total),"Air challenges won, % (total)",Ball interceptions (total)
R. Hollingshead,17,Dallas,28,1696,56.35,958,0.87,68,4,0.79,12,38,2.24,0.29,171,72%,66,68%,120
Francisco Calvo,19,Chicago Fire,27,1727,54.63,1038,0.84,65,3.42,0.66,15,11,0.58,0.27,165,64%,64,53%,135
A. Powell,12,Cincinnati,25,980,42.5,510,0.76,36,3,0.69,16,25,2.08,0.36,85,71%,24,67%,53
Reto Ziegler,17,Dallas,34,1696,66.24,1126,0.91,39,2.29,0.62,4,2,0.12,0.5,120,68%,49,65%,100
Mohammed Mounir,11,Los Angeles,27,460,29.27,322,0.83,29,2.64,0.69,11,12,1.09,0.25,59,63%,18,61%,34
Florian Jungwirth,17,SJ Earthquakes,31,1618,54.47,926,0.89,71,4.18,0.66,4,2,0.12,0.5,235,66%,98,59%,130
A. Callens,16,New York City,27,1513,57.25,916,0.89,48,3,0.69,4,1,0.06,0,165,67%,66,67%,112
Ronald Matarrita,24,New York City,25,2197,56.58,1358,0.8,119,4.96,0.57,46,82,3.42,0.27,234,58%,62,58%,114
Ruan,13,Orlando,24,1215,34,442,0.78,46,3.54,0.65,22,26,2,0.23,91,53%,15,40%,47
Auro,18,Toronto,24,1571,58.78,1058,0.87,56,3.11,0.75,21,29,1.61,0.38,123,56%,37,30%,117
Aaron Herrera,19,Salt Lake,22,1796,51.58,980,0.84,61,3.21,0.62,24,36,1.89,0.22,162,64%,45,60%,106
M. López,16,SJ Earthquakes,20,1235,45.81,733,0.83,45,2.81,0.76,12,28,1.75,0.25,121,69%,35,80%,75
Chase Gasper,17,Minnesota,24,1620,47,799,0.81,73,4.29,0.64,19,54,3.18,0.26,184,63%,65,57%,82
Mikey Ambrose,11,Atlanta United,26,890,59.36,653,0.87,23,2.09,0.65,12,13,1.18,0.08,77,68%,42,62%,28
Seth Sinovic,8,Sporting,33,731,46.75,374,0.82,19,2.38,0.68,11,16,2,0.13,51,67%,20,80%,35
Ali Adnan,21,Whitecaps,26,1922,44.33,931,0.78,76,3.62,0.57,22,48,2.29,0.42,161,65%,79,71%,110
J. Villafaña,15,Portland,30,1408,50.2,753,0.8,66,4.4,0.62,14,62,4.13,0.34,140,53%,50,44%,78
E. Castillo,7,New England,33,655,51,357,0.82,34,4.86,0.68,12,10,1.43,0.4,58,59%,10,20%,31
Adam Lundkvist,15,Houston,25,1397,51.4,771,0.77,56,3.73,0.7,22,38,2.53,0.26,119,63%,26,54%,43
Jonathan Bornstein,11,Chicago Fire,35,979,39.36,433,0.82,26,2.36,0.92,8,15,1.36,0.27,82,71%,34,59%,48
Donald Toia,15,Salt Lake,27,1444,52.8,792,0.82,40,2.67,0.68,12,37,2.47,0.22,123,57%,51,63%,91
Keegan Rosenberry,16,Colorado,26,1566,41.25,660,0.85,55,3.44,0.55,11,17,1.06,0.41,164,56%,50,62%,91
Jordan Harvey,18,Los Angeles,36,1439,48.28,869,0.87,50,2.78,0.52,19,13,0.72,0,141,56%,53,64%,79
R. Feltscher,15,LA Galaxy,29,1327,38,570,0.82,40,2.67,0.65,7,41,2.73,0.22,105,62%,44,55%,61
